"id","year","birth","pod","age_class"
"f582bb2b",1976,0,"J","young"
"0498aef0",1976,0,"J","old"
"1bcc2f72",1976,1,"J","young"
"410f0db9",1976,0,"J","old"
"af0aec3e",1976,0,"J","old"
"e65d0b78",1976,0,"J","old"
"f73bf5bd",1976,0,"K","old"
"f2662daf",1976,1,"K","young"
"dfc8fb19",1976,0,"K","old"
"c00c7978",1976,0,"K","young"
"cbfff3a5",1976,1,"L","young"
"34259e42",1976,0,"L","old"
"08b82728",1976,0,"L","old"
"7b42d759",1976,0,"L","old"
"d70cf846",1976,0,"L","young"
"70047e6a",1976,0,"L","young"
"d659b3ef",1976,0,"L","old"
"4c767282",1976,0,"L","old"
"c8e71d23",1976,0,"L","young"
"67a8ddb4",1976,1,"L","old"
"3f13199e",1976,0,"L","old"
"25d90918",1976,1,"L","old"
"2e499e56",1976,0,"L","young"
"852b134a",1976,1,"L","young"
"e24fc1f6",1976,0,"L","old"
"f582bb2b",1977,1,"J","young"
"0498aef0",1977,0,"J","old"
"410f0db9",1977,1,"J","old"
"af0aec3e",1977,0,"J","old"
"e65d0b78",1977,0,"J","old"
"f73bf5bd",1977,0,"K","old"
"53497c14",1977,0,"K","old"
"dfc8fb19",1977,0,"K","old"
"c00c7978",1977,0,"K","young"
"34259e42",1977,0,"L","old"
"5b9dfd84",1977,0,"L","young"
"08b82728",1977,1,"L","old"
"7b42d759",1977,0,"L","old"
"d70cf846",1977,0,"L","young"
"70047e6a",1977,0,"L","young"
"d659b3ef",1977,0,"L","old"
"4c767282",1977,0,"L","old"
"c8e71d23",1977,0,"L","young"
"3f13199e",1977,0,"L","old"
"2e499e56",1977,0,"L","young"
"0498aef0",1978,0,"J","old"
"af0aec3e",1978,0,"J","old"
"e65d0b78",1978,0,"J","old"
"f73bf5bd",1978,0,"K","old"
"53497c14",1978,0,"K","old"
"dfc8fb19",1978,0,"K","old"
"c00c7978",1978,0,"K","young"
"34259e42",1978,0,"L","old"
"5b9dfd84",1978,0,"L","young"
"7b42d759",1978,0,"L","old"
"d70cf846",1978,0,"L","young"
"70047e6a",1978,0,"L","young"
"d659b3ef",1978,0,"L","old"
"4c767282",1978,0,"L","old"
"c8e71d23",1978,1,"L","young"
"3f13199e",1978,0,"L","old"
"2e499e56",1978,0,"L","young"
"0498aef0",1979,0,"J","old"
"1bcc2f72",1979,1,"J","young"
"af0aec3e",1979,0,"J","old"
"82757420",1979,0,"K","young"
"53497c14",1979,0,"K","old"
"f2662daf",1979,0,"K","young"
"c00c7978",1979,0,"K","young"
"cbfff3a5",1979,0,"L","young"
"5b9dfd84",1979,0,"L","young"
"af124469",1979,0,"L","young"
"7b42d759",1979,1,"L","old"
"d70cf846",1979,0,"L","young"
