"K","J","L","year"
15,15,40,1976
16,16,44,1977
16,18,45,1978
16,18,45,1979
16,19,48,1980
16,19,47,1981
15,18,44,1982
13,19,43,1983
13,17,40,1984
13,17,42,1985
14,17,47,1986
14,17,47,1987
17,18,47,1988
17,18,46,1989
16,18,48,1990
16,18,53,1991
16,19,55,1992
16,19,56,1993
17,20,56,1994
18,20,54,1995
18,20,54,1996
19,21,52,1997
18,20,49,1998
16,20,46,1999
16,19,46,2000
16,19,42,2001
18,20,42,2002
19,20,42,2003
21,22,42,2004
21,23,44,2005
20,24,44,2006
19,24,41,2007
19,25,43,2008
19,24,39,2009
19,27,41,2010
19,26,41,2011
20,25,42,2012
19,26,38,2013
19,25,36,2014
19,25,34,2015
19,29,36,2016
19,24,35,2017
18,23,34,2018
18,22,34,2019
17,22,33,2020
17,24,33,2021
16,24,33,2022
