df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.000356249127043712	1e-05	0.119519257194456	0.0355154037957824	0.119519257194456	0.0355154037957824	1
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.000463659596754202	1e-05	0.120130986219622	0.0445275181608156	0.112646899905775	0.0370434318469685	2
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.000637320805362476	1e-05	0.120702341129127	0.0526592198762012	0.106169703161193	0.0381265819082671	3
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.000963479014189574	1e-05	0.121235986614605	0.0599971774869714	0.100064945229425	0.0388261361017911	4
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.00179278347366682	1e-05	0.121734411498041	0.0666194832831709	0.0943112108787326	0.0391962826638625	5
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	-0.00807849418581217	1e-05	0.122199940339170	0.0725965049457872	0.0888883162532055	0.0392848808598224	6
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.00372332693668595	1e-05	0.122634744276785	0.0779916524227402	0.0837772380686462	0.0391341462146014	7
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.00160429822857238	1e-05	0.123040851154517	0.0828620684858769	0.0789600468796990	0.0387812642110587	8
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.00105921116866581	1e-05	0.123420154978319	0.0872592505765428	0.0744198441841163	0.0382589397823401	9
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000810253048255892	1e-05	0.123774424749750	0.0912296107881514	0.0701407031435296	0.0375958891819310	10
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000668206915771745	1e-05	0.124105312716267	0.0948149801508277	0.0661076127127767	0.0368172801473379	11
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000576748734589823	1e-05	0.124414362076993	0.0980530627680980	0.0623064249817920	0.0359451256728971	12
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000513203441293105	1e-05	0.124703014179911	0.100977844801906	0.0587238055453390	0.0349986361673336	13
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000466681561366278	1e-05	0.124972615244037	0.103619962803832	0.0553471867264820	0.0339945342862771	14
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000431302240956652	1e-05	0.125224422637931	0.106007035441746	0.0521647234897093	0.0329473362935249	15
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000403610269769802	1e-05	0.125459610743827	0.108163962267261	0.0491652518890510	0.0318696034124851	16
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000381442146651179	1e-05	0.125679276434735	0.110113192805825	0.0463382499054306	0.0307721662765212	17
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000363373887517307	1e-05	0.125884444190042	0.111874968924024	0.0436738005358683	0.0296643252698499	18
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000348429810095590	1e-05	0.126076070873499	0.113467543134083	0.0411625570050559	0.0285540292656393	19
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000335918903077988	1e-05	0.126255050195849	0.114907375230374	0.0387957099772652	0.0274480350117903	20
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000325338005210592	1e-05	0.126422216882923	0.116209309413995	0.0365649566535724	0.0263520491846450	21
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000316311997093627	1e-05	0.126578350568650	0.117386733846615	0.0344624716459920	0.0252708549239573	22
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000308555486658660	1e-05	0.126724179431119	0.118451724381288	0.0324808795263475	0.0242084244765163	23
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000301847485444454	1e-05	0.126860383588665	0.119415174043817	0.0306132289535825	0.0231680194087344	24
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000296014211335722	1e-05	0.126987598271813	0.120286909681450	0.0288529682887515	0.0221522796983882	25
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000290917129295567	1e-05	0.127106416785873	0.121075797054546	0.0271939226121483	0.0211633028808213	26
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000286444458220942	1e-05	0.127217393278006	0.121789835519811	0.0256302720619498	0.0202027143037555	27
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000282505025443039	1e-05	0.127321045321657	0.122436243339283	0.0241565314183877	0.0192717294360128	28
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000279023744678596	1e-05	0.127417856330428	0.123021534546291	0.0227675308618304	0.0183712090776930	29
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	FECUNDITY	0.000275938237763508	1e-05	0.127508277812620	0.123551588206896	0.0214583978372751	0.0175017082315515	30
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000165642752680813	1e-05	0.119519257194456	0.0355154037957824	0.119519257194456	0.0355154037957824	1
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000183201665734657	1e-05	0.120130986219622	0.0445275181608156	0.112646899905775	0.0370434318469685	2
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000202595710812657	1e-05	0.120702341129127	0.0526592198762012	0.106169703161193	0.0381265819082671	3
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000224012724419584	1e-05	0.121235986614605	0.0599971774869714	0.100064945229425	0.0388261361017911	4
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000247659221501119	1e-05	0.121734411498041	0.0666194832831709	0.0943112108787326	0.0391962826638625	5
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000273762180475894	1e-05	0.122199940339170	0.0725965049457872	0.0888883162532055	0.0392848808598224	6
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000302570989717910	1e-05	0.122634744276785	0.0779916524227402	0.0837772380686462	0.0391341462146014	7
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000334359569001429	1e-05	0.123040851154517	0.0828620684858769	0.0789600468796990	0.0387812642110587	8
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000369428680431449	1e-05	0.123420154978319	0.0872592505765428	0.0744198441841163	0.0382589397823401	9
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000408108444458000	1e-05	0.123774424749750	0.0912296107881514	0.0701407031435296	0.0375958891819310	10
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000450761077715043	1e-05	0.124105312716267	0.0948149801508277	0.0661076127127767	0.0368172801473379	11
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000497783870638202	1e-05	0.124414362076993	0.0980530627680980	0.0623064249817920	0.0359451256728971	12
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000549612424103348	1e-05	0.124703014179911	0.100977844801906	0.0587238055453390	0.0349986361673336	13
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000606724165694299	1e-05	0.124972615244037	0.103619962803832	0.0553471867264820	0.0339945342862771	14
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000669642167656322	1e-05	0.125224422637931	0.106007035441746	0.0521647234897093	0.0329473362935249	15
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000738939290127445	1e-05	0.125459610743827	0.108163962267261	0.0491652518890510	0.0318696034124851	16
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000815242674866154	1e-05	0.125679276434735	0.110113192805825	0.0463382499054306	0.0307721662765212	17
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000899238616417163	1e-05	0.125884444190042	0.111874968924024	0.0436738005358683	0.0296643252698499	18
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.000991677839481868	1e-05	0.126076070873499	0.113467543134083	0.0411625570050559	0.0285540292656393	19
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00109338121319293	1e-05	0.126255050195849	0.114907375230374	0.0387957099772652	0.0274480350117903	20
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00120524593503958	1e-05	0.126422216882923	0.116209309413995	0.0365649566535724	0.0263520491846450	21
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00132825221935884	1e-05	0.126578350568650	0.117386733846615	0.0344624716459920	0.0252708549239573	22
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00146347052760566	1e-05	0.126724179431119	0.118451724381288	0.0324808795263475	0.0242084244765163	23
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00161206938005069	1e-05	0.126860383588665	0.119415174043817	0.0306132289535825	0.0231680194087344	24
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00177532379113754	1e-05	0.126987598271813	0.120286909681450	0.0288529682887515	0.0221522796983882	25
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00195462437347196	1e-05	0.127106416785873	0.121075797054546	0.0271939226121483	0.0211633028808213	26
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00215148715832576	1e-05	0.127217393278006	0.121789835519811	0.0256302720619498	0.0202027143037555	27
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00236756418363013	1e-05	0.127321045321657	0.122436243339283	0.0241565314183877	0.0192717294360128	28
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00260465490372174	1e-05	0.127417856330428	0.123021534546291	0.0227675308618304	0.0183712090776930	29
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	F	ALPHA	MORTALITY	-0.00286471847860429	1e-05	0.127508277812620	0.123551588206896	0.0214583978372751	0.0175017082315515	30
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000292307836899222	1e-05	0.119519257194456	0.0355154037957824	0.119519257194456	0.0355154037957824	1
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000295594362103410	1e-05	0.120130986219622	0.0445275181608156	0.112646899905775	0.0370434318469685	2
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000300183321184553	1e-05	0.120702341129127	0.0526592198762012	0.106169703161193	0.0381265819082671	3
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000305971902568314	1e-05	0.121235986614605	0.0599971774869714	0.100064945229425	0.0388261361017911	4
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000312889008222774	1e-05	0.121734411498041	0.0666194832831709	0.0943112108787326	0.0391962826638625	5
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000320887575329305	1e-05	0.122199940339170	0.0725965049457872	0.0888883162532055	0.0392848808598224	6
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000329939232950693	1e-05	0.122634744276785	0.0779916524227402	0.0837772380686462	0.0391341462146014	7
0.15	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.0	M	ALPHA	FECUNDITY	0.000340030521734542	1e-05	0.123040851154517	0.0828620684858769	0.0789600468796990	0.0387812642110587	8
