df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.000522748116441734	1e-05	0.0185262569074100	0.0231421572389088	0.104982122475323	0.131138891020483	1
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.000635445593667217	1e-05	0.0184271130251327	0.0307643384296458	0.0971464794901766	0.133112894405287	2
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.000795144731303959	1e-05	0.0183841650821126	0.0378865636238089	0.0900453455778093	0.134611517839110	3
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.00103844786150783	1e-05	0.0183890559306804	0.0445433156165096	0.0836084397796303	0.135700262359611	4
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.00145327633258870	1e-05	0.0184344260642380	0.0507665465057371	0.0777723043908238	0.136436918128870	5
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.00231735529710355	1e-05	0.0185138042752099	0.0565858764870725	0.0724796358718666	0.136872410530026	6
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	-0.00521094228767952	1e-05	0.0186215098137357	0.0620287759792968	0.0676786818135267	0.137051556807155	7
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.0312495277972680	1e-05	0.0187525648635172	0.0671207325579127	0.0633226974052667	0.137013742507298	8
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.00414395106709614	1e-05	0.0189026162715777	0.0718854040371242	0.0593694555084154	0.136793526037395	9
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.00228792779900973	1e-05	0.0190678655768778	0.0763447589173392	0.0557808050219910	0.136421178798686	10
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.00161229239633713	1e-05	0.0192450064799929	0.0805192053034884	0.0525222727571464	0.135923167597159	11
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.00126316053400401	1e-05	0.0194311689834900	0.0844277092982859	0.0495627045116884	0.135322585342231	12
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.00105022906372349	1e-05	0.0196238695112264	0.0880879037829412	0.0468739414642410	0.134639535429096	13
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000907026756190041	1e-05	0.0198209663854362	0.0915161884148643	0.0444305283931098	0.133891474646180	14
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000804283718714262	1e-05	0.0200206201039566	0.0947278215967407	0.0422094505720064	0.133093518951404	15
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000727100439786908	1e-05	0.0202212579170047	0.0977370051032476	0.0401898965073367	0.132258716013939	16
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000667092658901387	1e-05	0.0204215422541912	0.100556961989949	0.0383530439631966	0.131398288016576	17
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000619180979387162	1e-05	0.0206203425985354	0.103200008352947	0.0366818669736425	0.130521847853256	18
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000580108489853355	1e-05	0.0208167104456437	0.105677619457102	0.0351609617700186	0.129637591532459	19
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000547690598030392	1e-05	0.0210098570234144	0.108000490704624	0.0337763897566316	0.128752469306364	20
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000520407220881772	1e-05	0.0211991334810469	0.110178593874014	0.0325155358531305	0.127872337784646	21
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000497167933017059	1e-05	0.0213840132861536	0.112221229021477	0.0313669806886164	0.127002095057375	22
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000477170143490621	1e-05	0.0215640765957373	0.114137072402457	0.0303203852826016	0.126145800641104	23
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000459809971887108	1e-05	0.0217389963910131	0.115934220739692	0.0293663869831152	0.125306781873378	24
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000444624310156591	1e-05	0.0219085261878070	0.117620232135796	0.0284965055539941	0.124487728211452	25
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000431252040715216	1e-05	0.0220724891537883	0.119202163902534	0.0277030584130500	0.123690774738887	26
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000419407407453584	1e-05	0.0222307684813328	0.120686607555513	0.0269790841215582	0.122917576047273	27
