df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000174712450505000	1e-05	0.154349970417687	0.0925774039114735	0.0272382300737095	0.0163371889255542	1
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000181159175033678	1e-05	0.155889194896435	0.0863151143768879	0.0330975126717157	0.0162181357280653	2
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000187681768087383	1e-05	0.157108589769305	0.0806497760619955	0.0386165673171905	0.0161543467280787	3
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000194264513317880	1e-05	0.158050067540291	0.0755234461171931	0.0438164978832309	0.0161380156960519	4
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000200891430902300	1e-05	0.158750755179816	0.0708838711043363	0.0487169771325510	0.0161622368977955	5
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000207546414635196	1e-05	0.159243508245934	0.0666839243322732	0.0533363541121399	0.0162209087420473	6
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000214213369737433	1e-05	0.159557371464682	0.0628810990831650	0.0576917526864201	0.0163086473946945	7
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000220876348937415	1e-05	0.159717991251062	0.0594370521629980	0.0617991619963150	0.0164207093455551	8
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000227519684452421	1e-05	0.159747985096372	0.0563171927650070	0.0656735195580810	0.0165529220159521	9
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000234128113640365	1e-05	0.159667272247872	0.0534903121345894	0.0693287876492961	0.0167016215873609	10
